title,company,location,link
신규프로젝트 클라이언트 프로그래머 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1efc37d732b7a812&vjs=3
신사업 관련 글로벌 PR 담당자 (3년 이상),게임빌,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ec410ecc87471e40&vjs=3
블록체인 센터 시스템 엔지니어 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=02940982fdf7f78d&vjs=3
(주)서치코 일반사무,서치코,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3ddc34ff55f7c6ad&vjs=3
[한화호텔&리조트] 블록체인/NFT 기획 인력 모집,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2298f50b9fdf7070&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 팀장,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e89e2c137a1766dc&vjs=3
서비스 기획자(웹/앱) -강남/스타트업/쇼핑몰/커머스/인센티브,티에스커리어,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=618255d6d9b9df0b&vjs=3
NFT 사업 담당자,드림어스컴퍼니,서울 서초동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b12ec936f99c940b&vjs=3
[NAVER Cloud] Blockchain 서비스 개발,네이버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=34d826908be45b5e&vjs=3
[한화생명] 신사업부문 사이버보안 안드로이드 App 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d5caf52b3e6806f0&vjs=3
